=== TRAIN SPLIT ===
Number of subject folders: 710

s0622: t1=40, t2=40, total=80
s0223: t1=40, t2=40, total=80
s0254: t1=43, t2=43, total=86
s0359: t1=43, t2=43, total=86
s0071: t1=35, t2=35, total=70
s0006: t1=40, t2=40, total=80
s0192: t1=36, t2=36, total=72
s0441: t1=30, t2=30, total=60
s0436: t1=41, t2=41, total=82
s0531: t1=38, t2=38, total=76
s0546: t1=37, t2=37, total=74
s0198: t1=40, t2=40, total=80
s0095: t1=40, t2=40, total=80
s0101: t1=34, t2=34, total=68
s0176: t1=30, t2=30, total=60
s0645: t1=47, t2=47, total=94
s0632: t1=53, t2=53, total=106
s0378: t1=26, t2=26, total=52
s0275: t1=34, t2=34, total=68
s0202: t1=38, t2=38, total=76
s0396: t1=35, t2=35, total=70
s0291: t1=41, t2=41, total=82
s0305: t1=39, t2=39, total=78
s0372: t1=44, t2=44, total=88
s0208: t1=39, t2=39, total=78
s0638: t1=42, t2=42, total=84
s0404: t1=40, t2=40, total=80
s0590: t1=47, t2=47, total=94
s0473: t1=44, t2=44, total=88
s0509: t1=33, t2=33, total=66
s0034: t1=25, t2=25, total=50
s0043: t1=44, t2=44, total=88
s0139: t1=36, t2=36, total=72
s0049: t1=40, t2=40, total=80
s0144: t1=44, t2=44, total=88
s0133: t1=39, t2=39, total=78
s0479: t1=37, t2=37, total=74
s0574: t1=35, t2=35, total=70
s0497: t1=43, t2=43, total=86
s0503: t1=38, t2=38, total=76
s0230: t1=39, t2=39, total=78
s0247: t1=42, t2=42, total=84
s0699: t1=40, t2=40, total=80
s0600: t1=39, t2=39, total=78
s0677: t1=45, t2=45, total=90
s0693: t1=38, t2=38, total=76
s0707: t1=43, t2=43, total=86
s0340: t1=38, t2=38, total=76
s0337: t1=42, t2=42, total=84
s0240: t1=29, t2=29, total=58
s0237: t1=37, t2=37, total=74
s0670: t1=43, t2=43, total=86
s0607: t1=42, t2=42, total=84
s0700: t1=42, t2=42, total=84
s0694: t1=30, t2=30, total=60
s0330: t1=35, t2=35, total=70
s0347: t1=33, t2=33, total=66
s0579: t1=54, t2=54, total=108
s0474: t1=38, t2=38, total=76
s0597: t1=41, t2=41, total=82
s0403: t1=36, t2=36, total=72
s0149: t1=37, t2=37, total=74
s0044: t1=35, t2=35, total=70
s0033: t1=40, t2=40, total=80
s0134: t1=39, t2=39, total=78
s0143: t1=38, t2=38, total=76
s0039: t1=50, t2=50, total=100
s0504: t1=29, t2=29, total=58
s0490: t1=30, t2=30, total=60
s0573: t1=31, t2=31, total=62
s0409: t1=36, t2=36, total=72
s0635: t1=38, t2=38, total=76
s0642: t1=41, t2=41, total=82
s0391: t1=28, t2=28, total=56
s0205: t1=28, t2=28, total=56
s0272: t1=34, t2=34, total=68
s0308: t1=39, t2=39, total=78
s0278: t1=38, t2=38, total=76
s0375: t1=29, t2=29, total=58
s0302: t1=33, t2=33, total=66
s0296: t1=40, t2=40, total=80
s0648: t1=44, t2=44, total=88
s0098: t1=45, t2=45, total=90
s0195: t1=33, t2=33, total=66
s0001: t1=35, t2=35, total=70
s0076: t1=45, t2=45, total=90
s0431: t1=42, t2=42, total=84
s0446: t1=38, t2=38, total=76
s0541: t1=27, t2=27, total=54
s0536: t1=26, t2=26, total=52
s0171: t1=26, t2=26, total=52
s0106: t1=35, t2=35, total=70
s0092: t1=40, t2=40, total=80
s0323: t1=22, t2=22, total=44
s0354: t1=35, t2=35, total=70
s0259: t1=35, t2=35, total=70
s0687: t1=42, t2=42, total=84
s0669: t1=38, t2=38, total=76
s0663: t1=43, t2=43, total=86
s0614: t1=33, t2=33, total=66
s0329: t1=23, t2=23, total=46
s0253: t1=40, t2=40, total=80
s0224: t1=26, t2=26, total=52
s0517: t1=40, t2=40, total=80
s0483: t1=33, t2=33, total=66
s0560: t1=36, t2=36, total=72
s0127: t1=39, t2=39, total=78
s0150: t1=40, t2=40, total=80
s0057: t1=43, t2=43, total=86
s0020: t1=52, t2=52, total=104
s0467: t1=46, t2=46, total=92
s0584: t1=41, t2=41, total=82
s0410: t1=41, t2=41, total=82
s0489: t1=35, t2=35, total=70
s0366: t1=33, t2=33, total=66
s0311: t1=42, t2=42, total=84
s0285: t1=35, t2=35, total=70
s0388: t1=36, t2=36, total=72
s0382: t1=42, t2=42, total=84
s0216: t1=40, t2=40, total=80
s0261: t1=40, t2=40, total=80
s0626: t1=42, t2=42, total=84
s0651: t1=28, t2=28, total=56
s0018: t1=40, t2=40, total=80
s0162: t1=28, t2=28, total=56
s0115: t1=44, t2=44, total=88
s0081: t1=40, t2=40, total=80
s0428: t1=35, t2=35, total=70
s0552: t1=39, t2=39, total=78
s0525: t1=35, t2=35, total=70
s0422: t1=28, t2=28, total=56
s0455: t1=37, t2=37, total=74
s0558: t1=29, t2=29, total=58
s0186: t1=28, t2=28, total=56
s0012: t1=30, t2=30, total=60
s0065: t1=39, t2=39, total=78
s0168: t1=42, t2=42, total=84
s0418: t1=26, t2=26, total=52
s0515: t1=37, t2=37, total=74
s0481: t1=38, t2=38, total=76
s0562: t1=33, t2=33, total=66
s0028: t1=45, t2=45, total=90
s0125: t1=40, t2=40, total=80
s0152: t1=37, t2=37, total=74
s0055: t1=40, t2=40, total=80
s0022: t1=38, t2=38, total=76
s0158: t1=40, t2=40, total=80
s0465: t1=36, t2=36, total=72
s0586: t1=40, t2=40, total=80
s0412: t1=41, t2=41, total=82
s0568: t1=39, t2=39, total=78
s0321: t1=39, t2=39, total=78
s0356: t1=41, t2=41, total=82
s0685: t1=50, t2=50, total=100
s0661: t1=41, t2=41, total=82
s0616: t1=42, t2=42, total=84
s0251: t1=30, t2=30, total=60
s0226: t1=23, t2=23, total=46
s0160: t1=33, t2=33, total=66
s0117: t1=39, t2=39, total=78
s0083: t1=30, t2=30, total=60
s0550: t1=26, t2=26, total=52
s0527: t1=49, t2=49, total=98
s0420: t1=40, t2=40, total=80
s0457: t1=36, t2=36, total=72
s0184: t1=38, t2=38, total=76
s0010: t1=40, t2=40, total=80
s0067: t1=40, t2=40, total=80
s0089: t1=40, t2=40, total=80
s0659: t1=31, t2=31, total=62
s0364: t1=38, t2=38, total=76
s0313: t1=33, t2=33, total=66
s0287: t1=37, t2=37, total=74
s0269: t1=39, t2=39, total=78
s0319: t1=34, t2=34, total=68
s0380: t1=37, t2=37, total=74
s0214: t1=40, t2=40, total=80
s0263: t1=37, t2=37, total=74
s0624: t1=44, t2=44, total=88
s0653: t1=42, t2=42, total=84
s0498: t1=29, t2=29, total=58
s0476: t1=29, t2=29, total=58
s0595: t1=40, t2=40, total=80
s0401: t1=40, t2=40, total=80
s0046: t1=36, t2=36, total=72
s0031: t1=38, t2=38, total=76
s0136: t1=41, t2=41, total=82
s0141: t1=41, t2=41, total=82
s0506: t1=41, t2=41, total=82
s0492: t1=45, t2=45, total=90
s0571: t1=35, t2=35, total=70
s0242: t1=39, t2=39, total=78
s0235: t1=41, t2=41, total=82
s0338: t1=32, t2=32, total=64
s0672: t1=39, t2=39, total=78
s0605: t1=42, t2=42, total=84
s0708: t1=44, t2=44, total=88
s0678: t1=23, t2=23, total=46
s0702: t1=37, t2=37, total=74
s0696: t1=39, t2=39, total=78
s0248: t1=40, t2=40, total=80
s0332: t1=40, t2=40, total=80
s0345: t1=27, t2=27, total=54
s0179: t1=39, t2=39, total=78
s0197: t1=40, t2=40, total=80
s0003: t1=49, t2=49, total=98
s0074: t1=30, t2=30, total=60
s0549: t1=43, t2=43, total=86
s0433: t1=38, t2=38, total=76
s0444: t1=38, t2=38, total=76
s0543: t1=48, t2=48, total=96
s0534: t1=28, t2=28, total=56
s0439: t1=29, t2=29, total=58
s0173: t1=47, t2=47, total=94
s0104: t1=37, t2=37, total=74
s0090: t1=30, t2=30, total=60
s0009: t1=45, t2=45, total=90
s0637: t1=44, t2=44, total=88
s0640: t1=46, t2=46, total=92
s0393: t1=40, t2=40, total=80
s0207: t1=26, t2=26, total=52
s0270: t1=40, t2=40, total=80
s0399: t1=39, t2=39, total=78
s0377: t1=40, t2=40, total=80
s0300: t1=40, t2=40, total=80
s0294: t1=39, t2=39, total=78
s0647: t1=37, t2=37, total=74
s0630: t1=49, t2=49, total=98
s0299: t1=32, t2=32, total=64
s0277: t1=39, t2=39, total=78
s0200: t1=38, t2=38, total=76
s0394: t1=32, t2=32, total=64
s0293: t1=37, t2=37, total=74
s0307: t1=39, t2=39, total=78
s0370: t1=40, t2=40, total=80
s0073: t1=40, t2=40, total=80
s0004: t1=40, t2=40, total=80
s0190: t1=35, t2=35, total=70
s0109: t1=40, t2=40, total=80
s0443: t1=35, t2=35, total=70
s0434: t1=28, t2=28, total=56
s0539: t1=42, t2=42, total=84
s0449: t1=36, t2=36, total=72
s0533: t1=38, t2=38, total=76
s0544: t1=29, t2=29, total=58
s0079: t1=40, t2=40, total=80
s0097: t1=57, t2=57, total=114
s0103: t1=35, t2=35, total=70
s0174: t1=39, t2=39, total=78
s0348: t1=37, t2=37, total=74
s0232: t1=38, t2=38, total=76
s0245: t1=40, t2=40, total=80
s0602: t1=40, t2=40, total=80
s0675: t1=43, t2=43, total=86
s0691: t1=46, t2=46, total=92
s0705: t1=43, t2=43, total=86
s0608: t1=43, t2=43, total=86
s0342: t1=29, t2=29, total=58
s0335: t1=33, t2=33, total=66
s0238: t1=30, t2=30, total=60
s0406: t1=42, t2=42, total=84
s0592: t1=39, t2=39, total=78
s0471: t1=44, t2=44, total=88
s0036: t1=45, t2=45, total=90
s0041: t1=40, t2=40, total=80
s0146: t1=55, t2=55, total=110
s0131: t1=35, t2=35, total=70
s0598: t1=37, t2=37, total=74
s0576: t1=41, t2=41, total=82
s0495: t1=36, t2=36, total=72
s0501: t1=43, t2=43, total=86
s0629: t1=42, t2=42, total=84
s0219: t1=30, t2=30, total=60
s0280: t1=40, t2=40, total=80
s0314: t1=38, t2=38, total=76
s0363: t1=35, t2=35, total=70
s0264: t1=40, t2=40, total=80
s0213: t1=33, t2=33, total=66
s0387: t1=39, t2=39, total=78
s0369: t1=40, t2=40, total=80
s0654: t1=47, t2=47, total=94
s0623: t1=39, t2=39, total=78
s0084: t1=49, t2=49, total=98
s0110: t1=40, t2=40, total=80
s0167: t1=37, t2=37, total=74
s0189: t1=53, t2=53, total=106
s0520: t1=45, t2=45, total=90
s0557: t1=34, t2=34, total=68
s0450: t1=38, t2=38, total=76
s0427: t1=36, t2=36, total=72
s0060: t1=40, t2=40, total=80
s0017: t1=40, t2=40, total=80
s0183: t1=42, t2=42, total=84
s0351: t1=35, t2=35, total=70
s0326: t1=24, t2=24, total=48
s0682: t1=32, t2=32, total=64
s0611: t1=36, t2=36, total=72
s0666: t1=42, t2=42, total=84
s0688: t1=38, t2=38, total=76
s0221: t1=51, t2=51, total=102
s0256: t1=39, t2=39, total=78
s0565: t1=37, t2=37, total=74
s0486: t1=35, t2=35, total=70
s0512: t1=37, t2=37, total=74
s0468: t1=42, t2=42, total=84
s0155: t1=37, t2=37, total=74
s0122: t1=40, t2=40, total=80
s0058: t1=40, t2=40, total=80
s0128: t1=32, t2=32, total=64
s0025: t1=45, t2=45, total=90
s0052: t1=37, t2=37, total=74
s0518: t1=43, t2=43, total=86
s0415: t1=37, t2=37, total=74
s0581: t1=26, t2=26, total=52
s0462: t1=38, t2=38, total=76
s0328: t1=25, t2=25, total=50
s0225: t1=34, t2=34, total=68
s0252: t1=38, t2=38, total=76
s0615: t1=45, t2=45, total=90
s0662: t1=40, t2=40, total=80
s0686: t1=37, t2=37, total=74
s0668: t1=36, t2=36, total=72
s0355: t1=35, t2=35, total=70
s0322: t1=29, t2=29, total=58
s0258: t1=41, t2=41, total=82
s0585: t1=41, t2=41, total=82
s0411: t1=41, t2=41, total=82
s0466: t1=24, t2=24, total=48
s0488: t1=38, t2=38, total=76
s0021: t1=38, t2=38, total=76
s0056: t1=45, t2=45, total=90
s0151: t1=38, t2=38, total=76
s0126: t1=40, t2=40, total=80
s0561: t1=37, t2=37, total=74
s0516: t1=30, t2=30, total=60
s0482: t1=35, t2=35, total=70
s0650: t1=43, t2=43, total=86
s0627: t1=47, t2=47, total=94
s0260: t1=39, t2=39, total=78
s0383: t1=30, t2=30, total=60
s0217: t1=35, t2=35, total=70
s0310: t1=32, t2=32, total=64
s0284: t1=40, t2=40, total=80
s0367: t1=40, t2=40, total=80
s0389: t1=42, t2=42, total=84
s0064: t1=40, t2=40, total=80
s0187: t1=30, t2=30, total=60
s0013: t1=40, t2=40, total=80
s0169: t1=49, t2=49, total=98
s0454: t1=36, t2=36, total=72
s0423: t1=35, t2=35, total=70
s0559: t1=42, t2=42, total=84
s0429: t1=42, t2=42, total=84
s0524: t1=43, t2=43, total=86
s0553: t1=37, t2=37, total=74
s0019: t1=35, t2=35, total=70
s0114: t1=40, t2=40, total=80
s0080: t1=39, t2=39, total=78
s0163: t1=44, t2=44, total=88
s0346: t1=29, t2=29, total=58
s0331: t1=35, t2=35, total=70
s0701: t1=39, t2=39, total=78
s0695: t1=43, t2=43, total=86
s0606: t1=39, t2=39, total=78
s0671: t1=40, t2=40, total=80
s0236: t1=41, t2=41, total=82
s0241: t1=39, t2=39, total=78
s0572: t1=36, t2=36, total=72
s0505: t1=49, t2=49, total=98
s0491: t1=41, t2=41, total=82
s0408: t1=32, t2=32, total=64
s0142: t1=42, t2=42, total=84
s0135: t1=36, t2=36, total=72
s0038: t1=40, t2=40, total=80
s0148: t1=34, t2=34, total=68
s0032: t1=40, t2=40, total=80
s0045: t1=40, t2=40, total=80
s0578: t1=42, t2=42, total=84
s0596: t1=28, t2=28, total=56
s0402: t1=30, t2=30, total=60
s0475: t1=50, t2=50, total=100
s0649: t1=48, t2=48, total=96
s0279: t1=40, t2=40, total=80
s0303: t1=40, t2=40, total=80
s0297: t1=38, t2=38, total=76
s0374: t1=27, t2=27, total=54
s0273: t1=34, t2=34, total=68
s0390: t1=33, t2=33, total=66
s0204: t1=42, t2=42, total=84
s0309: t1=40, t2=40, total=80
s0643: t1=42, t2=42, total=84
s0634: t1=54, t2=54, total=108
s0107: t1=50, t2=50, total=100
s0093: t1=40, t2=40, total=80
s0170: t1=42, t2=42, total=84
s0537: t1=42, t2=42, total=84
s0540: t1=50, t2=50, total=100
s0447: t1=43, t2=43, total=86
s0430: t1=36, t2=36, total=72
s0099: t1=34, t2=34, total=68
s0077: t1=40, t2=40, total=80
s0194: t1=35, t2=35, total=70
s0199: t1=25, t2=25, total=50
s0177: t1=29, t2=29, total=58
s0094: t1=40, t2=40, total=80
s0100: t1=40, t2=40, total=80
s0547: t1=48, t2=48, total=96
s0530: t1=41, t2=41, total=82
s0437: t1=34, t2=34, total=68
s0440: t1=30, t2=30, total=60
s0007: t1=40, t2=40, total=80
s0193: t1=29, t2=29, total=58
s0070: t1=36, t2=36, total=72
s0639: t1=43, t2=43, total=86
s0373: t1=43, t2=43, total=86
s0290: t1=42, t2=42, total=84
s0304: t1=41, t2=41, total=82
s0209: t1=38, t2=38, total=76
s0379: t1=43, t2=43, total=86
s0203: t1=35, t2=35, total=70
s0397: t1=34, t2=34, total=68
s0274: t1=40, t2=40, total=80
s0633: t1=37, t2=37, total=74
s0644: t1=37, t2=37, total=74
s0478: t1=47, t2=47, total=94
s0496: t1=37, t2=37, total=74
s0502: t1=36, t2=36, total=72
s0575: t1=39, t2=39, total=78
s0048: t1=50, t2=50, total=100
s0132: t1=61, t2=61, total=122
s0145: t1=39, t2=39, total=78
s0042: t1=40, t2=40, total=80
s0035: t1=40, t2=40, total=80
s0138: t1=55, t2=55, total=110
s0472: t1=44, t2=44, total=88
s0405: t1=34, t2=34, total=68
s0591: t1=35, t2=35, total=70
s0508: t1=44, t2=44, total=88
s0336: t1=31, t2=31, total=62
s0341: t1=34, t2=34, total=68
s0692: t1=39, t2=39, total=78
s0706: t1=35, t2=35, total=70
s0698: t1=45, t2=45, total=90
s0676: t1=39, t2=39, total=78
s0601: t1=39, t2=39, total=78
s0246: t1=35, t2=35, total=70
s0231: t1=28, t2=28, total=56
s0119: t1=34, t2=34, total=68
s0014: t1=40, t2=40, total=80
s0180: t1=28, t2=28, total=56
s0063: t1=40, t2=40, total=80
s0529: t1=29, t2=29, total=58
s0424: t1=45, t2=45, total=90
s0453: t1=36, t2=36, total=72
s0554: t1=28, t2=28, total=56
s0523: t1=38, t2=38, total=76
s0459: t1=29, t2=29, total=58
s0164: t1=34, t2=34, total=68
s0087: t1=48, t2=48, total=96
s0113: t1=40, t2=40, total=80
s0069: t1=54, t2=54, total=108
s0620: t1=41, t2=41, total=82
s0657: t1=43, t2=43, total=86
s0210: t1=40, t2=40, total=80
s0384: t1=44, t2=44, total=88
s0267: t1=38, t2=38, total=76
s0289: t1=40, t2=40, total=80
s0360: t1=45, t2=45, total=90
s0283: t1=36, t2=36, total=72
s0317: t1=33, t2=33, total=66
s0461: t1=42, t2=42, total=84
s0416: t1=33, t2=33, total=66
s0582: t1=27, t2=27, total=54
s0051: t1=40, t2=40, total=80
s0026: t1=55, t2=55, total=110
s0121: t1=35, t2=35, total=70
s0156: t1=34, t2=34, total=68
s0485: t1=38, t2=38, total=76
s0511: t1=37, t2=37, total=74
s0566: t1=42, t2=42, total=84
s0588: t1=42, t2=42, total=84
s0255: t1=40, t2=40, total=80
s0222: t1=40, t2=40, total=80
s0358: t1=44, t2=44, total=88
s0665: t1=50, t2=50, total=100
s0612: t1=43, t2=43, total=86
s0618: t1=44, t2=44, total=88
s0681: t1=38, t2=38, total=76
s0228: t1=40, t2=40, total=80
s0325: t1=38, t2=38, total=76
s0352: t1=43, t2=43, total=86

TOTAL IMAGES in train: 54666

========================================

=== TEST SPLIT ===
Number of subject folders: 123

s0718: t1=40, t2=40, total=80
s0781: t1=26, t2=26, total=52
s0712: t1=38, t2=38, total=76
s0765: t1=40, t2=40, total=80
s0757: t1=26, t2=26, total=52
s0720: t1=40, t2=40, total=80
s0804: t1=40, t2=40, total=80
s0798: t1=39, t2=39, total=78
s0776: t1=37, t2=37, total=74
s0792: t1=28, t2=28, total=56
s0825: t1=43, t2=43, total=86
s0744: t1=44, t2=44, total=88
s0733: t1=35, t2=35, total=70
s0739: t1=32, t2=32, total=64
s0817: t1=32, t2=32, total=64
s0810: t1=42, t2=42, total=84
s0734: t1=45, t2=45, total=90
s0743: t1=40, t2=40, total=80
s0749: t1=40, t2=40, total=80
s0822: t1=27, t2=27, total=54
s0828: t1=40, t2=40, total=80
s0771: t1=34, t2=34, total=68
s0795: t1=30, t2=30, total=60
s0809: t1=43, t2=43, total=86
s0803: t1=36, t2=36, total=72
s0727: t1=55, t2=55, total=110
s0750: t1=37, t2=37, total=74
s0831: t1=42, t2=42, total=84
s0786: t1=43, t2=43, total=86
s0768: t1=40, t2=40, total=80
s0762: t1=30, t2=30, total=60
s0715: t1=45, t2=45, total=90
s0766: t1=39, t2=39, total=78
s0711: t1=40, t2=40, total=80
s0788: t1=39, t2=39, total=78
s0782: t1=40, t2=40, total=80
s0807: t1=39, t2=39, total=78
s0723: t1=40, t2=40, total=80
s0754: t1=39, t2=39, total=78
s0729: t1=45, t2=45, total=90
s0826: t1=43, t2=43, total=86
s0791: t1=43, t2=43, total=86
s0775: t1=44, t2=44, total=88
s0814: t1=41, t2=41, total=82
s0730: t1=40, t2=40, total=80
s0747: t1=39, t2=39, total=78
s0740: t1=44, t2=44, total=88
s0737: t1=40, t2=40, total=80
s0819: t1=48, t2=48, total=96
s0813: t1=42, t2=42, total=84
s0778: t1=31, t2=31, total=62
s0796: t1=41, t2=41, total=82
s0772: t1=40, t2=40, total=80
s0821: t1=32, t2=32, total=64
s0753: t1=28, t2=28, total=56
s0724: t1=40, t2=40, total=80
s0759: t1=26, t2=26, total=52
s0800: t1=34, t2=34, total=68
s0716: t1=40, t2=40, total=80
s0761: t1=30, t2=30, total=60
s0785: t1=29, t2=29, total=58
